created,modified,deleted,renamed,high_entropy,label
9,4,0,0,0.68,0
6,26,5,6,0.85,1
10,25,3,7,0.8,1
10,40,1,7,0.95,1
5,1,1,2,0.57,0
5,3,0,1,0.5,0
13,8,2,0,0.68,0
8,16,2,7,0.96,1
15,3,1,2,0.53,0
14,2,1,0,0.58,0
12,22,3,7,0.86,1
14,39,5,7,0.8,1
13,25,2,7,0.91,1
12,39,4,6,0.82,1
14,30,1,2,0.91,1
15,24,5,3,0.87,1
12,2,1,2,0.65,0
7,4,2,2,0.51,0
11,16,0,7,0.9,1
7,5,0,0,0.55,0
8,32,0,6,0.99,1
19,50,6,12,0.95,1
24,36,1,6,0.91,1
6,1,1,2,0.68,0
12,25,1,10,0.86,1
13,8,2,0,0.51,0
14,36,2,6,0.82,1
20,48,3,8,0.85,1
19,32,4,12,0.85,1
21,25,1,4,0.93,1
6,24,0,3,0.86,1
11,33,3,5,0.89,1
12,2,0,2,0.66,0
7,38,0,3,0.99,1
22,30,2,7,0.98,1
11,23,4,2,0.88,1
7,40,2,4,0.89,1
7,36,4,5,0.91,1
19,45,6,11,0.93,1
5,17,0,10,0.99,1
5,1,1,2,0.65,0
11,15,4,2,0.89,1
9,1,0,1,0.55,0
24,27,1,6,0.91,1
10,3,0,1,0.64,0
5,7,2,0,0.69,0
9,8,2,2,0.7,0
5,3,2,0,0.68,0
8,6,2,2,0.61,0
7,37,3,7,0.99,1
10,46,1,3,0.96,1
7,7,1,2,0.55,0
6,33,4,6,0.96,1
14,25,0,3,0.91,1
14,15,0,6,0.86,1
7,4,1,1,0.64,0
15,1,0,1,0.67,0
15,2,0,2,0.62,0
6,33,0,10,0.96,1
6,5,0,1,0.6,0
8,40,3,9,0.89,1
17,21,2,11,0.93,1
17,40,1,3,0.87,1
13,5,0,2,0.65,0
6,28,3,2,0.83,1
11,26,2,2,0.81,1
19,30,2,12,0.95,1
18,49,5,3,0.86,1
11,16,0,10,0.98,1
8,15,2,3,0.9,1
8,3,2,2,0.55,0
15,1,1,2,0.51,0
19,31,1,6,0.95,1
8,26,2,10,0.84,1
13,8,0,0,0.59,0
25,26,1,12,0.92,1
5,6,1,2,0.69,0
9,2,0,0,0.55,0
24,34,6,7,0.91,1
9,6,1,2,0.63,0
21,24,1,4,0.92,1
11,8,2,2,0.62,0
12,34,1,8,0.97,1
12,6,2,0,0.69,0
11,4,1,2,0.62,0
11,8,0,1,0.57,0
23,22,6,6,0.94,1
18,21,5,11,0.89,1
23,30,1,12,0.96,1
17,49,5,10,0.86,1
15,26,5,4,0.91,1
22,20,2,10,0.88,1
10,48,4,10,0.89,1
13,1,2,1,0.57,0
13,48,1,10,0.88,1
10,5,1,2,0.54,0
12,5,1,0,0.67,0
14,31,1,5,0.93,1
23,26,4,10,0.93,1
25,28,6,5,0.89,1
8,8,0,1,0.62,0
11,4,2,1,0.65,0
