created,modified,deleted,renamed,high_entropy,label
10,5,0,1,0.75,0
12,3,1,0,0.60,0
5,7,0,0,0.90,1
8,4,1,1,0.80,1
11,2,0,0,0.65,0
7,5,1,0,0.85,1
9,6,0,1,0.70,0
6,4,1,1,0.95,1
10,3,0,0,0.55,0
8,5,1,1,0.88,1
13,4,0,0,0.60,0
6,8,1,1,0.92,1
9,2,0,0,0.58,0
7,6,1,0,0.87,1
11,3,0,1,0.65,00,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,48,0,0,0,0
0,64,0,0,0,0
0,52,0,0,0,0
0,40,0,0,0,0
0,56,0,0,0,0
0,60,0,0,0,0
13,51,0,3,0,0
14,64,0,5,0,0
0,57,0,0,0,0
0,57,0,0,0,0
9,62,0,7,0,0
0,109,0,0,0,0
9,18,0,0,0,0
12,116,0,11,0,0
15,143,0,14,0,0
10,20,0,0,0,0
12,169,0,11,0,0
10,194,0,3,0,0
21,40,1,1,0,0
16,39,203,4,0,0
0,2,2,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12,24,0,0,0,0
8,16,0,0,0,0
12,21,0,1,0,0
0,0,0,0,0,0
7,13,1,1,0,1
6,12,0,0,0,0
13,24,0,1,0,0
10,20,0,0,0,0
20,37,0,2,0,0
10,20,0,0,0,0
9,18,0,0,0,0
12,24,0,0,0,0
